scenario_key,scenario_name,rainfall_factor,village_lgd_code,taluk_name_en,village_name_en,pu_status,elevation_mean_m,slope_mean_deg,baseline_rainfall_7d_p95_mm,scenario_rainfall_7d_p95_mm,baseline_susceptibility_0_100,scenario_susceptibility_0_100,susceptibility_delta,scenario_tier,governance_classification
moderate,Moderate / Normal Monsoon,0.7,635095,Udhagai,Udhagai - Rural,POSITIVE,2248.8,14.5,121.3,84.9,94.58,86.04,-8.54,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635096,Udhagai,Thummanatty 1,POSITIVE,2160.8,16.9,121.3,84.9,94.58,86.04,-8.54,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635097,Kotagiri,Hallimoyar,UNLABELED,685.2,19.0,96.9,67.8,16.43,16.43,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635098,Kotagiri,Kallampalayam,UNLABELED,311.2,2.8,96.9,67.8,6.84,6.84,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635099,Kotagiri,Kodanad,POSITIVE,1776.7,19.3,96.9,67.8,83.51,83.51,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635100,Kotagiri,Nedugula-I,POSITIVE,1857.4,16.7,121.3,84.9,94.58,86.04,-8.54,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635101,Kotagiri,Denad-I,POSITIVE,1757.3,16.5,96.9,67.8,86.04,86.04,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635102,Kotagiri,Nandhipuram,UNLABELED,1309.2,24.8,96.9,67.8,14.55,14.55,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635103,Kotagiri,Aracode,UNLABELED,1209.4,23.3,96.9,67.8,14.55,14.55,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635104,Kotagiri,Kokodu,UNLABELED,953.6,18.7,96.9,67.8,14.55,14.55,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635105,Kotagiri,Kadinamala,UNLABELED,1313.8,20.8,96.9,67.8,14.55,14.55,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635106,Kotagiri,Kengarai 1,UNLABELED,1298.4,21.2,96.9,67.8,16.43,16.43,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635107,Kotagiri,Konavakorai-I,POSITIVE,1412.6,18.7,96.9,67.8,86.04,86.04,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635108,Kotagiri,Naduhatty-1,POSITIVE,1907.8,17.4,121.3,84.9,94.58,86.04,-8.54,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635109,Kotagiri,Kotagiri -1,POSITIVE,1643.2,15.7,121.3,84.9,94.58,86.04,-8.54,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635110,Kotagiri,Jackanarai,POSITIVE,1204.5,26.6,188.5,132.0,62.96,45.39,-17.57,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635111,Coonoor,Yedapally,POSITIVE,1756.6,22.1,104.9,73.5,93.48,83.51,-9.97,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635112,Coonoor,Burliar,POSITIVE,1133.7,29.2,104.9,73.5,62.96,18.16,-44.8,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635113,Coonoor,Coonoor Rural,POSITIVE,1695.9,21.7,121.3,84.9,93.48,83.51,-9.97,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635114,Coonoor,Melur 1,POSITIVE,1500.8,20.6,104.9,73.5,93.48,83.51,-9.97,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635117,Kundah,Ithalar 1,POSITIVE,2035.9,16.0,104.9,73.5,94.58,86.04,-8.54,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635118,Kundah,Mulligoor,POSITIVE,2228.0,17.2,109.6,76.7,94.58,86.04,-8.54,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635119,Kundah,Balacola-1,POSITIVE,1874.7,18.9,104.9,73.5,93.48,83.51,-9.97,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635120,Kundah,Mel-Kundah,POSITIVE,1992.0,23.3,109.6,76.7,93.48,83.51,-9.97,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635121,Kundah,Kinnakorai,POSITIVE,1607.4,27.2,104.9,73.5,93.48,83.51,-9.97,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635080,Pandalur,Erumad 1,UNLABELED,877.0,9.4,267.0,267.0,18.32,18.32,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635081,Pandalur,Moonnad 1,UNLABELED,918.8,11.0,267.0,267.0,18.32,18.32,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635082,Pandalur,Nelliyalam 1,POSITIVE,1006.6,13.0,116.2,116.2,46.7,46.7,0.0,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635083,Pandalur,Cherangode1,POSITIVE,876.0,13.7,267.0,267.0,64.17,64.17,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635084,Gudalur,Nellakotta,UNLABELED,967.8,10.4,116.2,116.2,9.88,9.88,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635085,Gudalur,Mudumalai,UNLABELED,970.4,7.2,116.2,116.2,9.88,9.88,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635086,Gudalur,Sreemadurai,UNLABELED,948.9,9.3,116.2,116.2,9.88,9.88,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635087,Udhagai,Masinagudi,UNLABELED,958.4,10.3,116.2,116.2,9.88,9.88,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635088,Udhagai,Kadanad 1,UNLABELED,1008.2,12.4,121.3,121.3,10.1,10.1,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635089,Udhagai,Ebbanad 1,POSITIVE,1168.1,15.6,121.3,121.3,47.29,47.29,0.0,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635090,Udhagai,Kookal,UNLABELED,1352.4,19.1,121.3,121.3,38.95,38.95,0.0,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635091,Udhagai,Kagguchi 1,POSITIVE,1956.4,15.6,121.3,121.3,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635092,Udhagai,Thuneri,POSITIVE,1956.9,16.4,121.3,121.3,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635093,Udhagai,Hullathy,POSITIVE,1887.6,16.3,121.3,121.3,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635094,Udhagai,Nanjand1,POSITIVE,2206.6,13.8,116.2,116.2,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635095,Udhagai,Udhagai - Rural,POSITIVE,2248.8,14.5,121.3,121.3,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635096,Udhagai,Thummanatty 1,POSITIVE,2160.8,16.9,121.3,121.3,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635097,Kotagiri,Hallimoyar,UNLABELED,685.2,19.0,96.9,96.9,16.43,16.43,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635098,Kotagiri,Kallampalayam,UNLABELED,311.2,2.8,96.9,96.9,6.84,6.84,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635099,Kotagiri,Kodanad,POSITIVE,1776.7,19.3,96.9,96.9,83.51,83.51,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635100,Kotagiri,Nedugula-I,POSITIVE,1857.4,16.7,121.3,121.3,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635101,Kotagiri,Denad-I,POSITIVE,1757.3,16.5,96.9,96.9,86.04,86.04,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635102,Kotagiri,Nandhipuram,UNLABELED,1309.2,24.8,96.9,96.9,14.55,14.55,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635103,Kotagiri,Aracode,UNLABELED,1209.4,23.3,96.9,96.9,14.55,14.55,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635104,Kotagiri,Kokodu,UNLABELED,953.6,18.7,96.9,96.9,14.55,14.55,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635105,Kotagiri,Kadinamala,UNLABELED,1313.8,20.8,96.9,96.9,14.55,14.55,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635106,Kotagiri,Kengarai 1,UNLABELED,1298.4,21.2,96.9,96.9,16.43,16.43,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635107,Kotagiri,Konavakorai-I,POSITIVE,1412.6,18.7,96.9,96.9,86.04,86.04,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635108,Kotagiri,Naduhatty-1,POSITIVE,1907.8,17.4,121.3,121.3,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635109,Kotagiri,Kotagiri -1,POSITIVE,1643.2,15.7,121.3,121.3,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635110,Kotagiri,Jackanarai,POSITIVE,1204.5,26.6,188.5,188.5,62.96,62.96,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635111,Coonoor,Yedapally,POSITIVE,1756.6,22.1,104.9,104.9,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635112,Coonoor,Burliar,POSITIVE,1133.7,29.2,104.9,104.9,62.96,62.96,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635113,Coonoor,Coonoor Rural,POSITIVE,1695.9,21.7,121.3,121.3,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635114,Coonoor,Melur 1,POSITIVE,1500.8,20.6,104.9,104.9,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635117,Kundah,Ithalar 1,POSITIVE,2035.9,16.0,104.9,104.9,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635118,Kundah,Mulligoor,POSITIVE,2228.0,17.2,109.6,109.6,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635119,Kundah,Balacola-1,POSITIVE,1874.7,18.9,104.9,104.9,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635120,Kundah,Mel-Kundah,POSITIVE,1992.0,23.3,109.6,109.6,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
baseline,Historical Baseline Climatology,1.0,635121,Kundah,Kinnakorai,POSITIVE,1607.4,27.2,104.9,104.9,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635080,Pandalur,Erumad 1,UNLABELED,877.0,9.4,267.0,400.5,18.32,18.32,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635081,Pandalur,Moonnad 1,UNLABELED,918.8,11.0,267.0,400.5,18.32,18.32,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635082,Pandalur,Nelliyalam 1,POSITIVE,1006.6,13.0,116.2,174.2,46.7,64.17,17.47,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635083,Pandalur,Cherangode1,POSITIVE,876.0,13.7,267.0,400.5,64.17,64.17,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635084,Gudalur,Nellakotta,UNLABELED,967.8,10.4,116.2,174.2,9.88,18.32,8.44,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635085,Gudalur,Mudumalai,UNLABELED,970.4,7.2,116.2,174.2,9.88,18.32,8.44,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635086,Gudalur,Sreemadurai,UNLABELED,948.9,9.3,116.2,174.2,9.88,18.32,8.44,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635087,Udhagai,Masinagudi,UNLABELED,958.4,10.3,116.2,174.2,9.88,18.32,8.44,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635088,Udhagai,Kadanad 1,UNLABELED,1008.2,12.4,121.3,181.9,10.1,11.24,1.14,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635089,Udhagai,Ebbanad 1,POSITIVE,1168.1,15.6,121.3,181.9,47.29,50.3,3.01,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635090,Udhagai,Kookal,UNLABELED,1352.4,19.1,121.3,181.9,38.95,41.85,2.9,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635091,Udhagai,Kagguchi 1,POSITIVE,1956.4,15.6,121.3,181.9,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635092,Udhagai,Thuneri,POSITIVE,1956.9,16.4,121.3,181.9,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635093,Udhagai,Hullathy,POSITIVE,1887.6,16.3,121.3,181.9,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635094,Udhagai,Nanjand1,POSITIVE,2206.6,13.8,116.2,174.2,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635095,Udhagai,Udhagai - Rural,POSITIVE,2248.8,14.5,121.3,181.9,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635096,Udhagai,Thummanatty 1,POSITIVE,2160.8,16.9,121.3,181.9,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635097,Kotagiri,Hallimoyar,UNLABELED,685.2,19.0,96.9,145.4,16.43,45.39,28.96,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635098,Kotagiri,Kallampalayam,UNLABELED,311.2,2.8,96.9,145.4,6.84,9.88,3.04,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635099,Kotagiri,Kodanad,POSITIVE,1776.7,19.3,96.9,145.4,83.51,93.48,9.97,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635100,Kotagiri,Nedugula-I,POSITIVE,1857.4,16.7,121.3,181.9,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635101,Kotagiri,Denad-I,POSITIVE,1757.3,16.5,96.9,145.4,86.04,94.58,8.54,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635102,Kotagiri,Nandhipuram,UNLABELED,1309.2,24.8,96.9,145.4,14.55,41.85,27.3,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635103,Kotagiri,Aracode,UNLABELED,1209.4,23.3,96.9,145.4,14.55,41.85,27.3,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635104,Kotagiri,Kokodu,UNLABELED,953.6,18.7,96.9,145.4,14.55,41.85,27.3,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635105,Kotagiri,Kadinamala,UNLABELED,1313.8,20.8,96.9,145.4,14.55,41.85,27.3,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635106,Kotagiri,Kengarai 1,UNLABELED,1298.4,21.2,96.9,145.4,16.43,45.39,28.96,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635107,Kotagiri,Konavakorai-I,POSITIVE,1412.6,18.7,96.9,145.4,86.04,94.58,8.54,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635108,Kotagiri,Naduhatty-1,POSITIVE,1907.8,17.4,121.3,181.9,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635109,Kotagiri,Kotagiri -1,POSITIVE,1643.2,15.7,121.3,181.9,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635110,Kotagiri,Jackanarai,POSITIVE,1204.5,26.6,188.5,282.8,62.96,62.96,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635111,Coonoor,Yedapally,POSITIVE,1756.6,22.1,104.9,157.4,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635112,Coonoor,Burliar,POSITIVE,1133.7,29.2,104.9,157.4,62.96,62.96,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635113,Coonoor,Coonoor Rural,POSITIVE,1695.9,21.7,121.3,181.9,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635114,Coonoor,Melur 1,POSITIVE,1500.8,20.6,104.9,157.4,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635117,Kundah,Ithalar 1,POSITIVE,2035.9,16.0,104.9,157.4,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635118,Kundah,Mulligoor,POSITIVE,2228.0,17.2,109.6,164.4,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635119,Kundah,Balacola-1,POSITIVE,1874.7,18.9,104.9,157.4,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635120,Kundah,Mel-Kundah,POSITIVE,1992.0,23.3,109.6,164.4,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
heavy,Heavy Monsoon Surge,1.5,635121,Kundah,Kinnakorai,POSITIVE,1607.4,27.2,104.9,157.4,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635080,Pandalur,Erumad 1,UNLABELED,877.0,9.4,267.0,587.4,18.32,18.32,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635081,Pandalur,Moonnad 1,UNLABELED,918.8,11.0,267.0,587.4,18.32,18.32,0.0,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635082,Pandalur,Nelliyalam 1,POSITIVE,1006.6,13.0,116.2,255.5,46.7,64.17,17.47,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635083,Pandalur,Cherangode1,POSITIVE,876.0,13.7,267.0,587.4,64.17,64.17,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
